obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-939.73598087 -722.92907741   53.20339009],[-0.06248345 -0.00836406 -2.4453383 ],[  -78.78813055 -1153.55236158   149.27494668],[-0.0750766   0.01652822 -1.64494382]
[-939.9559136  -723.06426195   52.80439775],[-5.98463685e-02  3.86866116e-04 -2.44852335e+00],[  -78.75627373 -1153.5365583    149.21833789],[-0.07469209  0.0160194  -1.64462706]
[-939.63250455 -722.94965231   53.0080413 ],[-0.06109781 -0.00645087 -2.44507909],[  -78.7528542  -1153.56341134   149.20609892],[-0.07500359  0.01584011 -1.64476831]
[-939.41147994 -722.76994437   53.30931527],[-0.06277605 -0.01442741 -2.44131523],[  -78.77328759 -1153.53944643   149.24230805],[-0.07515903  0.01607162 -1.6451639 ]
[-939.36549216 -722.75199505   53.33124557],[-0.06186284 -0.01494875 -2.4419036 ],[  -78.77046025 -1153.50650691   149.2089061 ],[-0.07487977  0.01598271 -1.64514519]
[-939.34457704 -722.77215887   53.35426932],[-0.06225846 -0.01513495 -2.44189568],[  -78.76088009 -1153.48732385   149.17941451],[-0.07464943  0.01572888 -1.64519798]
[-939.93376917 -723.08117012   52.81232105],[-6.06757599e-02 -1.05378556e-04 -2.44821253e+00],[  -78.76264378 -1153.48651966   149.22102772],[-0.07466169  0.01592983 -1.64495943]
[-939.93774436 -723.07245467   52.78701163],[-5.98611192e-02  4.31741384e-04 -2.44850559e+00],[  -78.72830102 -1153.65416751   149.26509835],[-0.07545707  0.01594508 -1.64423243]
[-939.66341907 -722.97813957   53.00423844],[-0.06155021 -0.00662275 -2.44557661],[  -78.83279157 -1153.05396731   149.04486248],[-0.07270179  0.01541821 -1.64774948]
[-939.92360505 -723.09329943   52.78491377],[-6.01953241e-02  1.46962697e-04 -2.44835020e+00],[  -78.76691367 -1153.56077493   149.21151729],[-0.07492119  0.01594486 -1.64481772]
[-939.65392399 -722.95045825   53.04091693],[-0.06153673 -0.00705236 -2.44544693],[  -78.78298093 -1153.49291671   149.21131835],[-0.07477231  0.01604191 -1.64532556]
[-939.65089561 -722.96685236   53.0406426 ],[-0.06163406 -0.00649648 -2.44562137],[  -78.75884733 -1153.47248944   149.16830612],[-0.0744586   0.01568179 -1.64500592]
[-939.64098744 -722.99734359   53.04537259],[-0.06139911 -0.00683419 -2.4457233 ],[  -78.75516422 -1153.52297621   149.18842276],[-0.07508741  0.01582054 -1.64526951]
[-939.64856101 -722.9964961    53.02753428],[-0.06160865 -0.0066814  -2.44559574],[  -78.79602818 -1153.47734977   149.20761283],[-0.07495063  0.01606082 -1.64539436]
[-939.65157822 -722.97766395   53.03469998],[-0.06141949 -0.0066772  -2.445236  ],[  -78.80831327 -1153.41762446   149.20018693],[-0.07436173  0.01621243 -1.64544871]
[-939.91502951 -723.08547166   52.81737789],[-5.97036037e-02  5.25662958e-04 -2.44821668e+00],[  -78.77844723 -1153.5387888    149.2262365 ],[-0.07486049  0.01614671 -1.64484562]
[-939.94234082 -723.07745308   52.80994929],[-6.03780129e-02  8.00030622e-05 -2.44809855e+00],[  -78.76879784 -1153.48750006   149.20854953],[-0.07477449  0.01593293 -1.64513463]
[-939.6419584  -722.98005442   53.03905788],[-0.06121416 -0.00673477 -2.44573745],[  -78.75996102 -1153.47798806   149.20747773],[-0.07452926  0.01583455 -1.64499879]
[-939.65082413 -722.98630691   53.02363917],[-0.0618464  -0.00656179 -2.44522631],[  -78.74852477 -1153.55331133   149.2071142 ],[-0.07497876  0.01579727 -1.64499761]
[-939.61787524 -723.01016847   53.03030227],[-0.0613502  -0.00689743 -2.44565317],[  -78.74615306 -1153.51675389   149.20108056],[-0.07477555  0.01577048 -1.64516438]
[-937.79166232 -722.6469153    53.12092057],[-0.06652129 -0.03833584 -2.46287405],[  -78.77144127 -1153.54279033   149.22123367],[-0.07500162  0.01599017 -1.64495543]
[-938.8745804  -722.66773987   53.5596541 ],[-0.05905895 -0.0218588  -2.45427001],[  -78.80378395 -1153.03598581   149.02717517],[-0.0725926   0.01513126 -1.64778657]
[-938.61067922 -722.66531026   53.53133398],[-0.05882393 -0.02316511 -2.45303538],[  -78.78035984 -1153.48534987   149.20185754],[-0.07464055  0.01596834 -1.64522258]
[-938.59223873 -722.6950297    53.51120049],[-0.05940331 -0.02313985 -2.4530496 ],[  -78.78095926 -1153.46532803   149.1957631 ],[-0.07438838  0.01606943 -1.64521072]
[-939.62363154 -723.00716237   53.04284299],[-0.06175479 -0.00661981 -2.44550357],[  -78.78562047 -1153.44114629   149.22085728],[-0.07419751  0.01616233 -1.64513721]
[-939.62454399 -723.01787949   53.04071834],[-0.06135113 -0.00666185 -2.44550301],[  -78.79062051 -1153.5036163    149.23348334],[-0.0746868   0.01616737 -1.6451266 ]
[-939.65749714 -722.99520744   53.03828412],[-0.06163552 -0.0065211  -2.44541607],[  -78.74412352 -1153.55507377   149.20166552],[-0.07475797  0.0156739  -1.64470009]
[-939.76596679 -722.91385594   53.1933324 ],[-0.06180913 -0.00895094 -2.44577088],[  -78.78436203 -1153.41743152   149.20819909],[-0.07406489  0.01596932 -1.64528355]
[-939.67515826 -722.99560808   53.03454255],[-0.06158814 -0.00612715 -2.44539609],[  -78.77033134 -1153.48285839   149.20233244],[-0.07478096  0.01588416 -1.64516341]
[-939.65716007 -722.96896554   53.02986209],[-0.06082351 -0.00641953 -2.44539012],[  -78.78570698 -1153.50984562   149.21095633],[-0.07472438  0.01603282 -1.64504611]
[-939.60925908 -723.02629689   53.05846865],[-0.06171582 -0.00693246 -2.44551145],[  -78.78060398 -1153.52960553   149.24645132],[-0.07481077  0.01614404 -1.64486849]
[-939.6216165  -723.02270731   53.03571203],[-0.06146898 -0.00667628 -2.44565854],[  -78.82963338 -1152.99858158   149.05464283],[-0.07237334  0.01545318 -1.64781598]
[-939.63465477 -722.99880486   53.0401493 ],[-0.06147351 -0.00669991 -2.44567231],[  -78.79394624 -1153.58985242   149.26736025],[-0.07542796  0.01635875 -1.64490941]
[-939.94098798 -723.10122336   52.78052159],[-6.07844824e-02  2.20868125e-04 -2.44799923e+00],[  -78.78115568 -1153.53579545   149.2116494 ],[-0.07527101  0.01604806 -1.64537243]
[-939.65590355 -722.99431061   53.04543399],[-0.06172791 -0.00650693 -2.44526766],[  -78.76208754 -1153.5027561    149.20222567],[-0.07482848  0.01584824 -1.64514822]
[-939.92732029 -723.06496562   52.80641213],[-6.02817234e-02  1.85648260e-04 -2.44796603e+00],[  -78.79954846 -1153.55890255   149.27192024],[-0.07491101  0.01649491 -1.64481354]
[-939.65503714 -722.97432775   53.04280144],[-0.06128842 -0.00665598 -2.44553759],[  -78.77542005 -1153.56679352   149.23396249],[-0.07511962  0.0160681  -1.64479797]
[-939.66077436 -723.00494769   53.02565681],[-0.06170921 -0.00654701 -2.44543012],[  -78.80022405 -1153.61858905   149.27008268],[-0.07541789  0.01640025 -1.64461962]
[-939.62544506 -723.00832571   53.0311265 ],[-0.06217164 -0.00743559 -2.44526359],[  -78.78986296 -1153.55962717   149.26041518],[-0.0752001   0.01629737 -1.64490516]
[-939.61080231 -723.03180883   53.05587366],[-0.06199326 -0.0072144  -2.44547723],[  -78.77377356 -1153.54390813   149.23073287],[-0.07489876  0.01610612 -1.64485539]
[-939.74851266 -722.90880702   53.17355779],[-0.0621847  -0.00900857 -2.44548069],[  -78.83436503 -1153.02504709   149.0367685 ],[-0.07237612  0.0154362  -1.64765557]
[-936.91385525 -722.62496133   53.03410489],[-0.07289837 -0.04692911 -2.48041728],[  -78.7330826  -1153.59825977   149.23830934],[-0.07519902  0.01585379 -1.64464156]
[-936.70976047 -722.42962739   52.81773076],[-0.07242259 -0.04731551 -2.4797287 ],[  -78.76821572 -1153.55111455   149.24268969],[-0.07522455  0.01614238 -1.64500873]
[-936.7885698  -722.44803558   52.67392346],[-0.07188346 -0.04498121 -2.48052255],[  -78.78908194 -1153.47405131   149.24179121],[-0.07451439  0.01623537 -1.64506293]
[-936.70847571 -722.47161572   52.7586617 ],[-0.07320275 -0.04745552 -2.48009753],[  -78.76353013 -1153.47233386   149.1613928 ],[-0.07468609  0.01573758 -1.64530636]
[-936.71067412 -722.45197758   52.76341927],[-0.07273389 -0.04720655 -2.47954278],[  -78.78382476 -1153.39978827   149.14873391],[-0.07428109  0.01584725 -1.64569002]
[-939.65605324 -722.99348818   53.02396138],[-0.06182187 -0.00661974 -2.4451638 ],[  -78.7957203  -1153.50858115   149.25183664],[-0.07492722  0.01628759 -1.64515722]
[-939.77837833 -722.90140305   53.20632317],[-0.06242259 -0.00828606 -2.44530593],[  -78.75370586 -1153.62352604   149.26137118],[-0.07522637  0.016106   -1.64429255]
[-939.95408365 -723.06476726   52.76306405],[-5.97328565e-02  9.52321107e-04 -2.44799186e+00],[  -78.78979134 -1153.48289892   149.24583834],[-0.07487964  0.01622614 -1.64538244]
[-939.94297167 -723.05159596   52.79941899],[-5.99982486e-02  6.07065467e-04 -2.44784135e+00],[  -78.78443975 -1153.56368541   149.26176692],[-0.0754848   0.01629681 -1.64495112]
