obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-873.18322052 -786.22262373   23.38609518],[ 0.00716351 -0.02153298 -0.90335563],[-1958.87653454  1850.0938948    823.98633849],[ 0.02860625 -0.01418836  0.60335916]
[-873.17613122 -786.27509663   23.35772015],[ 0.00673914 -0.0210942  -0.90347729],[-1958.8393583   1850.04758085   823.91726492],[ 0.02861256 -0.01416924  0.60326047]
[-873.15474978 -786.24307919   23.40341041],[ 0.00787058 -0.02200817 -0.90405933],[-1958.88147171  1850.0996819    823.98970742],[ 0.02844588 -0.01422155  0.60302819]
[-873.14331802 -786.26284201   23.40247375],[ 0.00760455 -0.02176606 -0.90397648],[-1958.86684202  1850.12762204   823.98651939],[ 0.02869713 -0.014242    0.60322919]
[-873.19384326 -786.27384559   23.32898584],[ 0.00568068 -0.02097363 -0.90256192],[-1958.86280372  1850.08406838   823.91917344],[ 0.02864996 -0.01425091  0.6027673 ]
[-873.19198264 -786.22729074   23.37233378],[ 0.00654357 -0.02087563 -0.90302388],[-1958.86000196  1850.07827103   824.00050497],[ 0.02838867 -0.01408674  0.60363983]
[-873.20438064 -786.25298229   23.32971909],[ 0.00590608 -0.02092592 -0.9030303 ],[-1958.84086565  1850.07901061   823.94476579],[ 0.02858749 -0.01419896  0.60339147]
[-873.14243326 -786.25189425   23.39993804],[ 0.00728229 -0.02154172 -0.90376697],[-1958.6736219   1849.91252234   823.66993495],[ 0.02945439 -0.01512108  0.60483653]
[-873.15504001 -786.24640799   23.4071102 ],[ 0.00688229 -0.02115072 -0.90336797],[-1958.88658616  1850.12261175   824.01707629],[ 0.02856976 -0.01431485  0.60337221]
[-873.18186956 -786.23992837   23.35246347],[ 0.00710251 -0.02135928 -0.90331433],[-1958.87761418  1850.09762077   824.01118361],[ 0.02821801 -0.01400584  0.60339994]
[-873.16782021 -786.28132691   23.37681015],[ 0.00661394 -0.02142457 -0.90350015],[-1958.85869997  1850.11913006   823.98824081],[ 0.0286223  -0.01424566  0.60340494]
