obs_1_pos,obs_1_rot,obs_2_pos,obs_2_rot
[-1862.51170261  2493.68027487   783.6307036 ],[-0.01143454 -0.00775784 -1.88272741],[-894.97208957 -754.47246325  151.21818477],[ 0.01953241 -0.02896747  0.61099248]
[-1862.10784531  2493.34638516   782.98616879],[-0.00660943 -0.01300216 -1.88063247],[-894.99372443 -754.30868907  151.26904646],[ 0.02052057 -0.02927133  0.60995166]
[-1862.59904719  2493.72656522   783.62585931],[-0.0110831  -0.00577016 -1.88343686],[-895.00260602 -754.44166868  151.17478982],[ 0.01961546 -0.02934857  0.6108365 ]
[-1858.84248205  2490.47351918   783.87277203],[-0.04079489 -0.05746755 -1.87152175],[-894.97180995 -754.42664107  151.18381295],[ 0.01959802 -0.02967598  0.61098799]
[-1858.65511977  2490.54392122   784.04113828],[-0.04490028 -0.05980067 -1.8700118 ],[-895.68989898 -755.3380759   151.26576194],[ 0.01276545 -0.02295077  0.61484989]
[-1861.40643968  2492.02675234   783.88147951],[-0.03232962 -0.01487218 -1.87525148],[-895.69755589 -755.28200669  151.30407951],[ 0.01310829 -0.02253156  0.61410607]
[-1860.2000008   2491.38452984   783.27662122],[-0.03301414 -0.02911794 -1.86958603],[-895.66885638 -755.36177939  151.24353445],[ 0.01267166 -0.02290381  0.61480833]
[-1859.63309965  2491.31064073   783.53542445],[-0.03292653 -0.03146566 -1.86839458],[-895.67192007 -755.35966073  151.25493362],[ 0.01266416 -0.02302326  0.61490972]
[-1859.89487604  2491.05661536   783.82420808],[-0.03912964 -0.03406688 -1.87458131],[-895.66856739 -755.3602115   151.25801912],[ 0.01265025 -0.02297752  0.61465898]
[-1860.21996398  2491.30384495   783.91759745],[-0.03955352 -0.02286093 -1.87436358],[-895.6823842  -755.40912562  151.25054009],[ 0.01221211 -0.0228063   0.61466988]
[-1861.27734314  2491.9397085    783.79348062],[-0.03319997 -0.01510728 -1.87488051],[-895.01369413 -754.28813573  151.22756836],[ 0.0206015  -0.02889451  0.61005239]
[-1862.51003975  2493.65162357   783.66778078],[-0.01262538 -0.00746111 -1.8831259 ],[-895.034548   -754.31820806  151.24632964],[ 0.02043567 -0.02850546  0.61030984]
[-1862.15443234  2493.40147009   783.54397922],[-0.012386   -0.01927388 -1.8811118 ],[-895.02382309 -754.44380839  151.2069093 ],[ 0.01942217 -0.02893483  0.61093392]
[-1862.11454445  2493.86089827   783.3882199 ],[-0.00749551 -0.02482382 -1.88330225],[-894.99394033 -754.42490238  151.17625518],[ 0.0197728  -0.02939249  0.61096914]
[-1862.62950083  2494.17426966   783.52843077],[-0.0070934  -0.01186657 -1.88673474],[-895.00295569 -754.48023811  151.17979096],[ 0.01921827 -0.02916485  0.61113196]
[-1862.25194204  2493.8684748    783.3544346 ],[-0.00667579 -0.02276478 -1.88501139],[-894.9873194  -754.43816618  151.17691491],[ 0.01944061 -0.02935396  0.61084012]
[-1862.63110712  2494.19688842   783.49476977],[-0.00585379 -0.01117675 -1.8861118 ],[-894.99401268 -754.4442793   151.18526193],[ 0.0194965  -0.02938993  0.61106175]
[-1862.11948702  2493.83049109   783.32811581],[-0.00704035 -0.02306302 -1.88377146],[-895.02372868 -754.43105794  151.20988334],[ 0.0195206  -0.02909365  0.61094172]
[-1862.58687376  2494.23535321   783.57770576],[-0.00673821 -0.0124135  -1.88552351],[-895.0151571  -754.44203169  151.20900272],[ 0.01959454 -0.02920776  0.61068701]
[-1862.6061121   2494.20237933   783.54872302],[-0.00738162 -0.01239752 -1.88586668],[-894.98771293 -754.47897543  151.16785443],[ 0.01913034 -0.02929868  0.61119104]
[-1862.68515644  2494.23037523   783.53386986],[-0.00609953 -0.01085858 -1.88658823],[-894.99568187 -754.44403355  151.17701878],[ 0.01919951 -0.02929896  0.61092743]
[-1862.57903774  2494.2934468    783.6402767 ],[-0.00545168 -0.01395407 -1.88471854],[-894.99472834 -754.29531266  151.23319512],[ 0.02079867 -0.02916447  0.61032246]
[-1971.94081724  2575.23704705   879.83430844],[ 0.02834926 -0.0229318  -1.84229846],[-895.01303211 -754.42302916  151.22454174],[ 0.01985892 -0.02898898  0.6108601 ]
[-1962.54610894  2569.96709527   867.02629968],[ 0.08414114  0.038791   -1.8247528 ],[-895.01032738 -754.46804269  151.2084791 ],[ 0.01937337 -0.0290894   0.61121756]
[-1979.14361142  2583.54506065   880.94158964],[ 0.10973119  0.04940171 -1.7989252 ],[-894.98202771 -754.4190653   151.18020275],[ 0.01963316 -0.02939017  0.61090837]
[-1859.66793813  2494.30895821   783.3641274 ],[ 0.00384783 -0.13218776 -1.87997793],[-894.99061785 -754.44020112  151.1771839 ],[ 0.01944859 -0.02930994  0.61092283]
[-1859.72323528  2494.29097717   783.33455883],[ 0.00506367 -0.13171963 -1.88066376],[-894.98697602 -754.45961508  151.23722872],[ 0.0193683  -0.02914149  0.61112018]
[-1866.41723596  2497.19953766   791.08661209],[-0.03928038 -0.12658746 -1.9029784 ],[-895.00276557 -754.37730099  151.19637984],[ 0.01999963 -0.02922995  0.6105618 ]
